bill_number,position_link,bill_link,house_vote_date,senate_vote_date,override_vote_date,house_passed,senate_passed,law,veto,biden_position,summary,notes,house_roll,house_dem_agree,house_rep_agree,senate_roll,senate_dem_agree,senate_rep_agree,veto_override_roll,veto_dem_agree,veto_rep_agree
HR 3799,https://www.whitehouse.gov/wp-content/uploads/2023/06/SAP-H.R.-3799.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/3799,6-21,,,TRUE,FALSE,FALSE,FALSE,oppose,Authorize regulations that allow employers to offer individual coverage health reimbursement arrangements ,,h282-2023,100.0%,0.0%,,,,,,
HR 3564,https://www.whitehouse.gov/wp-content/uploads/2023/06/SAP-H.R.-3564.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/3564,6-23,,,TRUE,FALSE,FALSE,FALSE,oppose,Nullify fee adjustments made by Fannie Mae and Freddie Mac for certain single-family mortgages,,h289-2023,93.1%,0.0%,,,,,,
HR 3941,https://www.whitehouse.gov/wp-content/uploads/2023/07/SAP-HR-3941.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/3941 ,7-19,,,TRUE,FALSE,FALSE,FALSE,oppose,Prohibit schools that receive federal funding from providing shelter to unauthorized immigrants,,h340-2023,98.0%,0.0%,,,,,,
HR 3935,https://www.whitehouse.gov/wp-content/uploads/2023/07/SAP-HR-3935.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/3935 ,7-20,,,TRUE,FALSE,FALSE,FALSE,oppose,FAA and NTSB reauthorization bill,"Senate took procedural votes only, passed a stopgap instead",h364-2023,18.8%,13.9%,,,,,,
HR 4366,https://www.whitehouse.gov/wp-content/uploads/2023/07/SAP-H.R.-4366.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/4366 ,7-27,,,TRUE,FALSE,FALSE,FALSE,oppose,MilCon-VA appropriations bill,Senate took procedural votes only,h380-2023,100.0%,0.9%,,,,,,
SJRES 9,https://www.whitehouse.gov/wp-content/uploads/2023/05/SJRes-9-SAP.pdf,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/9,7-27,5-3,9-28,TRUE,TRUE,FALSE,TRUE,oppose,Nullify a rule adding certain species of lesser prairie-chickens to the list of threatened species,,h381-2023,98.1%,0.5%,s110-2023,98.0%,0.0%,s242-2023,97.9%,0.0%
SJRES 24,https://www.whitehouse.gov/wp-content/uploads/2023/05/SAP-S.J.Res_.-24.pdf,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/24,7-27,5-11,9-28,TRUE,TRUE,FALSE,TRUE,oppose,Nullify a rule reclassifying the northern long-eared bat as an endangered species,,h382-2023,99.0%,0.5%,s123-2023,96.0%,0.0%,s243-2023,95.7%,0.0%
HR 1435,https://www.whitehouse.gov/wp-content/uploads/2023/09/HR-1435-SAP.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/1435 ,9-14,,,TRUE,FALSE,FALSE,FALSE,oppose,Prohibit state restrictions on vehicle emissions if they directly or indirectly limit the sale of new combustion engine vehicles,,h391-2023,96.0%,0.0%,,,,,,
HR 4665,https://www.whitehouse.gov/wp-content/uploads/2023/09/H.R.-4665-%E2%80%94-Department-of-State-Foreign-Operations-and-Related-Programs-Appropriations-Act-2024-PDF.pdf,https://www.congress.gov/bill/118th-congress/house-bill/4665 ,9-28,,,TRUE,FALSE,FALSE,FALSE,oppose,State-Foreign Ops appropriations bill,,h500-2023,100.0%,0.9%,,,,,,
HR 4365,https://www.whitehouse.gov/wp-content/uploads/2023/09/FY-2024-SAP-House-Defense-Final-Version-PDF.pdf,https://www.congress.gov/bill/118th-congress/house-bill/4365 ,9-28,,,TRUE,FALSE,FALSE,FALSE,oppose,Defense appropriations bill,,h502-2023,99.0%,0.9%,,,,,,
HR 4367,https://www.whitehouse.gov/wp-content/uploads/2023/09/H.R.-4367-%E2%80%94-Department-of-Homeland-Security-Appropriations-Act-2024-PDF.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/4367 ,9-28,,,TRUE,FALSE,FALSE,FALSE,oppose,Homeland Security appropriations bill,,h505-2023,99.0%,0.0%,,,,,,
HR 5525,https://www.whitehouse.gov/wp-content/uploads/2023/09/H.R.-5525-%E2%80%94-Spending-Reduction-and-Border-Security-Act-2024.pdf,https://www.congress.gov/bill/118th-congress/house-bill/5525 ,9-29,,,FALSE,FALSE,FALSE,FALSE,oppose,Continuing resolution with Republican border security package,,h511-2023,100.0%,9.6%,,,,,,
HR 4394,https://www.whitehouse.gov/wp-content/uploads/2023/10/H.R.-4394-Energy-and-Water-Development-and-Related-Agencies-Appropriations-Act-2024.pdf,https://www.congress.gov/bill/118th-congress/house-bill/4394 ,10-26,,,TRUE,FALSE,FALSE,FALSE,oppose,Energy-Water appropriations bill,,h558-2023,100.0%,0.5%,,,,,,
HR 6126,https://www.whitehouse.gov/wp-content/uploads/2023/11/Israel-Security-Supplemental-Appropriations-Act-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/6126 ,11-2,,,TRUE,FALSE,FALSE,FALSE,oppose,Israel supplemental aid package; rescind IRS enforcement funding,,h577-2023,94.2%,0.9%,,,,,,
HR 4821,https://www.whitehouse.gov/wp-content/uploads/2023/10/H.R.-4821-Department-of-the-Interior-Environment-and-Related-Agencies-Appropriations-Act-2024-FINAL.pdf,https://www.congress.gov/bill/118th-congress/house-bill/4821 ,11-3,,,TRUE,FALSE,FALSE,FALSE,oppose,Interior-Environment appropriations bill,,h597-2023,99.5%,1.4%,,,,,,
HR 5283,https://www.whitehouse.gov/wp-content/uploads/2023/11/HR5283-SAP.pdf ,https://www.congress.gov/bill/118th-congress/house-bill/5283 ,11-30,,,TRUE,FALSE,FALSE,FALSE,oppose,Prohibit use of federal funds to provide shelter to noncitizens who have not been lawfully admitted into the U.S.,,h689-2023,97.1%,0.0%,,,,,,
SJRES 32,https://www.whitehouse.gov/wp-content/uploads/2023/10/SJRes32-SAP.pdf ,http://www.congress.gov/bill/118th-congress/senate-joint-resolution/32,12-1,10-18,,TRUE,TRUE,FALSE,TRUE,oppose,Nullify a rule requiring financial institutions to collect and report credit application data for small businesses,,h690-2023,97.1%,0.0%,s260-2023,89.8%,0.0%,,,
HR 4468,https://www.whitehouse.gov/wp-content/uploads/2023/12/SAP-HR-4468.pdf,https://www.whitehouse.gov/wp-content/uploads/2023/12/SAP-HR-4468.pdf,12-6,,,TRUE,FALSE,FALSE,FALSE,oppose,Limit the EPA's authority to regulate emissions standards for new motor vehicles,,h703-2023,97.5%,0.0%,,,,,,
HJRES 88,https://www.whitehouse.gov/wp-content/uploads/2023/12/HJRes-88-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/88,12-7,,,TRUE,FALSE,FALSE,FALSE,oppose,Nullify the SAVE income-driven student loan repayment plan,,h705-2023,99.0%,0.0%,,,,,,
HR 357,https://www.whitehouse.gov/wp-content/uploads/2023/12/SAP-HR-357.pdf,https://www.congress.gov/bill/118th-congress/house-bill/357,12-12,,,TRUE,FALSE,FALSE,FALSE,oppose,Require that any agency rule promulgated under notice and comment procedures must be issued and signed by a presidentially appointed and Senate-confirmed individual,,h717-2023,98.5%,0.0%,,,,,,
HR 2670,https://www.whitehouse.gov/wp-content/uploads/2023/12/SAP-NDAA-Conf-Report.pdf,https://www.congress.gov/bill/118th-congress/house-bill/2670,12-14,12-13,,TRUE,TRUE,TRUE,FALSE,support,National Defense Authorization Act (final conferenced version),,h723-2023,78.3%,66.7%,s343-2023,86.0%,87.8%,,,
HR 21,https://www.whitehouse.gov/wp-content/uploads/2023/01/HR-21-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/21,1-27,,,TRUE,FALSE,FALSE,FALSE,oppose,Limit the drawdown of petroleum in the Strategic Petroleum Reserve until the Energy Dempartment expands oil and gas leases on federal lands,,h93-2023,99.5%,0.0%,,,,,,
HR 497,https://www.whitehouse.gov/wp-content/uploads/2023/01/SAP-H.R.-497.pdf,https://www.congress.gov/bill/118th-congress/house-bill/497,1-31,,,TRUE,FALSE,FALSE,FALSE,oppose,Terminate a rule that health care workers who are involved in Medicare or Medicaid programs be fully vaccinated against COVID-19,,h98-2023,96.7%,0.0%,,,,,,
SJRES 23,https://www.whitehouse.gov/wp-content/uploads/2023/05/SAP-S.J.-Res.-23.pdf,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/23,,5-11,,FALSE,TRUE,FALSE,FALSE,oppose,Reinstate a rule limiting the ability of the National Marine Fisheries Service to designate an area a critical habitat,,,,,s122-2023,96.0%,0.0%,,,
SJRES 18,https://www.whitehouse.gov/wp-content/uploads/2023/05/SJ-Res-18-SAP-5.17.23.pdf,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/18,,5-17,,FALSE,TRUE,FALSE,FALSE,oppose,Nullify a rule relaxing the requirements for determining when a noncitizen may be deemed “likely to become a public charge” and thus ineligible for admission or lawful permanent residence,,,,,s130-2023,95.8%,0.0%,,,
SJRES 42,https://www.whitehouse.gov/wp-content/uploads/2023/10/SAP-SJ-Res-42.pdf ,http://www.congress.gov/bill/118th-congress/senate-joint-resolution/42,,10-26,,FALSE,TRUE,FALSE,FALSE,oppose,Nullify a rule prohibiting discrimination on the basis of gender identity and sexual orientation within federally funded nutrition programs,,,,,s272-2023,97.9%,4.2%,,,
HR 4366,https://www.whitehouse.gov/wp-content/uploads/2023/09/FY-2024-SAP-Senate-Minibus-Final-PDF-9-13-23.pdf,http://www.congress.gov/bill/118th-congress/house-bill/4366,,11-1,,FALSE,TRUE,FALSE,FALSE,support,Consolidated appropriations package (MilCon-VA appropriations bill as vehicle),Senate considered different text than the House-passed vehicle,,,,s284-2023,100.0%,67.4%,,,
SJRES 38,https://www.whitehouse.gov/wp-content/uploads/2023/11/SAP-SJRes-38.pdf ,http://www.congress.gov/bill/118th-congress/senate-joint-resolution/38,,11-8,,FALSE,TRUE,FALSE,FALSE,oppose,Nullify the domestic manufacturing requirement for federally funded electric vehicle chargers,,,,,s303-2023,92.0%,2.1%,,,
HR 6126,https://www.whitehouse.gov/wp-content/uploads/2023/11/Israel-Security-Supplemental-Appropriations-Act-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/6126 ,,11-14,,TRUE,FALSE,FALSE,FALSE,support,Israel supplemental aid package; rescind IRS enforcement funding,"Biden position switched from House vote because this was a Senate vote to table (kill) the bill. We coded his position as ""support"" for tabling the bill.",,,,s309-2023,100.0%,0.0%,,,
SJRES 43,https://www.whitehouse.gov/wp-content/uploads/2023/11/SJRes.43-SAP.pdf,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/43,,11-15,,FALSE,FALSE,FALSE,FALSE,oppose,Nullify the SAVE income-driven student loan repayment plan,,,,,s310-2023,98.0%,0.0%,,,
HR 6363,https://www.foxnews.com/politics/senate-expected-pass-spending-bill-support-white-house.amp,https://www.congress.gov/bill/118th-congress/house-bill/6363,11-14,11-15,,TRUE,TRUE,TRUE,FALSE,support,Second continuing resolution,,,,,s312-2023,98.0%,78.7%,,,
HR 815,https://www.whitehouse.gov/wp-content/uploads/2023/12/Senate-Amendment-to-H.R.-815-%E2%80%93-National-Security-and-Border-Act-2024-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/815,,12-6,,FALSE,FALSE,FALSE,FALSE,support,Cloture on motion to proceed to a vehicle for border/Ukraine/Israel funding (rejected),Failed cloture vote was the final vote taken on this measure in 2023,,,,s332-2023,96.0%,0.0%,,,
S 316,https://www.whitehouse.gov/wp-content/uploads/2023/03/S316-SAP.pdf,https://www.congress.gov/bill/118th-congress/senate-bill/316,,3-29,,FALSE,TRUE,FALSE,FALSE,support,Repeal authorizations for the use of military force against Iraq,,,,,s77-2023,100.0%,37.5%,,,
SJRES10,https://www.whitehouse.gov/wp-content/uploads/2023/04/SAP-SJRes10.pdf,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/10/,,4-19,,FALSE,FALSE,FALSE,FALSE,oppose,Nullify a rule authorizing VA provision of abortion-related services ,Failed motion to proceed to the joint resolution was the final vote taken on this measure in 2023,,,,s90-2023,98.0%,4.1%,,,
S 870,https://www.whitehouse.gov/wp-content/uploads/2023/03/S870-SAP.pdf,https://www.congress.gov/bill/118th-congress/senate-bill/870,,4-20,,FALSE,TRUE,FALSE,FALSE,support,Reauthorize the U.S. Fire Administration and certain firefighting and emergency response grants,,,,,s94-2023,100.0%,95.7%,,,
SJRES 4,https://www.whitehouse.gov/wp-content/uploads/2023/04/SJRes-4-SAP.pdf ,https://www.congress.gov/bill/118th-congress/senate-joint-resolution/4,,4-27,,FALSE,FALSE,FALSE,FALSE,support,Cloture on motion to proceed to a bill removing the deadline for ratification of the Equal Rights Amendment (rejected),Failed cloture vote was the final vote taken on this measure in 2023,,,,s99-2023,98.0%,4.2%,,,
