Date,Open,High,Low,Close
02/28/2024,"22,214.10","22,229.15","21,915.85","21,951.15"
02/27/2024,"22,090.20","22,218.25","22,085.65","22,198.35"
02/26/2024,"22,169.20","22,202.15","22,075.15","22,122.05"
02/23/2024,"22,290.00","22,297.50","22,186.10","22,212.70"
02/22/2024,"22,081.55","22,252.50","21,875.25","22,217.45"
02/21/2024,"22,248.85","22,249.40","21,997.95","22,055.05"
02/20/2024,"22,099.20","22,215.60","22,045.85","22,196.95"
02/19/2024,"22,103.45","22,186.65","22,021.05","22,122.25"
02/16/2024,"22,020.30","22,068.65","21,968.95","22,040.70"
02/15/2024,"21,906.55","21,953.85","21,794.80","21,910.75"
02/14/2024,"21,578.15","21,870.85","21,530.20","21,840.05"
02/13/2024,"21,664.30","21,766.80","21,543.35","21,743.25"
02/12/2024,"21,800.80","21,831.70","21,574.75","21,616.05"
02/09/2024,"21,727.00","21,804.45","21,629.90","21,782.50"
02/08/2024,"22,009.65","22,011.05","21,665.30","21,717.95"
02/07/2024,"22,045.05","22,053.30","21,860.15","21,930.50"
02/06/2024,"21,825.20","21,951.40","21,737.55","21,929.40"
02/05/2024,"21,921.05","21,964.30","21,726.95","21,771.70"
02/02/2024,"21,812.75","22,126.80","21,805.55","21,853.80"
02/01/2024,"21,780.65","21,832.95","21,658.75","21,697.45"
01/31/2024,"21,487.25","21,741.35","21,448.85","21,725.70"
01/30/2024,"21,775.75","21,813.05","21,501.80","21,522.10"
01/29/2024,"21,433.10","21,763.25","21,429.60","21,737.60"
01/25/2024,"21,454.60","21,459.00","21,247.05","21,352.60"
01/24/2024,"21,185.25","21,482.35","21,137.20","21,453.95"
01/23/2024,"21,716.70","21,750.25","21,192.60","21,238.80"
01/19/2024,"21,615.20","21,670.60","21,575.00","21,622.40"
01/18/2024,"21,414.20","21,539.40","21,285.55","21,462.25"
01/17/2024,"21,647.25","21,851.50","21,550.45","21,571.95"
01/16/2024,"22,080.50","22,124.15","21,969.80","22,032.30"
01/15/2024,"22,053.15","22,115.55","21,963.55","22,097.45"
01/12/2024,"21,773.55","21,928.25","21,715.15","21,894.55"
01/11/2024,"21,688.00","21,726.50","21,593.75","21,647.20"
01/10/2024,"21,529.30","21,641.85","21,448.65","21,618.70"
01/09/2024,"21,653.60","21,724.45","21,517.85","21,544.85"
01/08/2024,"21,747.60","21,763.95","21,492.90","21,513.00"
01/05/2024,"21,705.75","21,749.60","21,629.20","21,710.80"
01/04/2024,"21,605.80","21,685.65","21,564.55","21,658.60"
01/03/2024,"21,661.10","21,677.00","21,500.35","21,517.35"
01/02/2024,"21,751.35","21,755.60","21,555.65","21,665.80"
01/01/2024,"21,727.75","21,834.35","21,680.85","21,741.90"
12/29/2023,"21,737.65","21,770.30","21,676.90","21,731.40"
